HS Code,HS Code Label
030313,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030319,Other
030323,Tilapias (Oreochromis spp.)
030324,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030325,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030326,Eels (Anguilla spp.)
030329,Other
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030332,Plaice (Pleuronectes platessa)
030333,Sole (Solea spp.)
030334,Turbots (Psetta maxima)
030339,Other
030341,Albacore or longfinned tunas (Thunnus alalunga)
030342,Yellowfin tunas (Thunnus albacares)
030343,Skipjack or stripe-bellied bonito
030344,Bigeye tunas (Thunnus obesus)
030345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus Orientalis)"
030346,Southern bluefin tunas (Thunnus maccoyii)
030349,Other
030351,"Herrings (Clupea harengus, Clupea pallasii)"
030353,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030355,Jack and horse mackerel (Trachurus spp.)
030356,Cobia (Rachycentron canadum)
030357,Swordfish (Xiphias gladius)
030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030364,Haddock (Melanogrammus aeglefinus)
030365,Coalfish (Pollachius virens)
030366,"Hake (Merluccius spp., Urophycis spp.)"
030367,Alaska Pollack (Theraga chalcogramma)
030368,"Blue whiting (Micromesistius poutassou, Micromesistius australis)"
030369,Other
030381,Dogfish and other sharks
030382,Rays and skates (Rajidae)
030383,Toothfish (Dissostichus spp.)
030384,Seabass (Dicentrarchus spp.)
030389,Other
030390,Livers and roes
030431,Tilapias (Oreochromis spp.)
030432,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030433,Nile perch (Lates niloticus)
030439,Other
030441,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
030442,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030443,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030444,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030445,Swordfish (Xiphias gladius)
030446,Toothfish (Dissostichus spp.)
030449,Other
030451,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius Carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
030452,Salmonidae
030453,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030454,Swordfish (Xiphias gladius)
030455,Toothfish (Dissostichus spp.)
030459,Other
030461,Tilapias (Oreochromis spp.)
030462,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030463,Nile Perch (Lates niloticus)
030469,Other
030471,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030472,Haddock (Melanogrammus aeglefinus)
030473,Coalfish (Pollachius virens)
030474,"Hake (Merluccius spp., Urophycis spp.)"
030475,Alaska pollack (Theraga chalcogramma)
030479,Other
030481,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho Hucho)"
030482,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030483,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030484,Swordfish (Xiphias gladius)
030485,Toothfish (Dissostichus spp.)
030486,"Herrings (Clupea harengus, Clupea pallasii)"
030487,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)"
030489,Other
030491,Swordfish (Xiphias gladius)
030492,Toothfish (Dissostichus spp)
030493,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.):"
030494,Alaska pollack (Theraga chalcogramma)
030495,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska pollack (Theraga Chalcogramma)"
030499,Other
030510,"Flours, meals and pellets of fish, fit for human consumption"
030520,"Livers and roes of fish, dried, smoked, salted or in brine"
030531,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
030532,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030539,Other
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
030542,"Herrings (Clupea harengus, Clupea pallasii)"
030543,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030544,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
030549,Other
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030559,Other:
030561,"Herrings (Clupea harengus, Clupea pallasii)"
030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030563,Anchovies (Engraulis spp.)
030564,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
030569,Other
030571,Shark fins
030572,"Fish heads, tails and maws"
030579,Other
030611,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.):"
030612,Lobsters (Homarus spp.)
030614,Crabs
030615,Norway lobsters (Nephrops norvegicus)
030616,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)"
030617,Other shrimps and prawns
030619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption"
030621,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.):"
030622,Lobsters (Homarus spp.)
030624,Crabs
030625,Norway lobsters (Nephrops norvegicus)
030626,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)"
030627,Other shrimps and prawns
030629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption"
030711,"Live, fresh or chilled"
030719,Other
030721,"Live, fresh or chilled"
030729,Other
030731,"Live, fresh or chilled"
030739,Other
030741,"Live, fresh or chilled"
030749,Other
030751,"Live, fresh or chilled"
030759,Other
030760,"Snails, other than sea snails"
030771,"Live, fresh or chilled"
030779,Other
030781,"Live, fresh or chilled"
030789,Other
030791,"Live, fresh or chilled"
030799,Other
030811,"Live, fresh or chilled"
030819,Other
030821,"Live, fresh or chilled"
030829,Other
030830,Jellyfish (Rhopilema spp.)
030890,Other
040110,"Of a fat content, by weight, not exceeding 1%"
040120,"Of a fat content, by weight, exceeding 1% but not exceeding 6%"
040140,"Of a fat content, by weight, exceeding 6% but not exceeding 10%"
040150,"Of a fat content, by weight, exceeding 10%"
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%:"
040221,Not containing added sugar or other sweetening matter:
040229,Other:
040291,Not containing added sugar or other sweetening matter
040299,Other
040310,Yogurt
040390,Other
040410,"Whey, and modified whey, whether or not concentrated or containing added sugar or other sweetening matter"
040490,Other
040510,Butter
040520,Dairy spreads
040590,Other
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd"
040620,"Grated or powdered cheese, of all kinds"
040630,"Processed cheese, not grated or powdered:"
040640,Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti
040690,Other cheese:
040711,Of fowls of the species Gallus domesticus
040719,Other
040721,Of fowls of the species Gallus domesticus
040729,Other
040790,Other
040811,Dried
040819,Other
040891,Dried
040899,Other
040900,TURAL HONEY:
041000,"IBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
050100,"MAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR"
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof"
050290,Other
050400,"TS, BLADDERS AND STOMACHS OF ANIMALS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED"
050510,Feathers of a kind used for stuffing; down
050590,Other
050610,Ossein and bones treated with acid
050690,Other
050710,Ivory; ivory powder and waste
050790,Other
050800,"RAL AND SIMILAR MATERIALS, UNWORKED OR SIMPLY PREPARED BUT NOT OTHERWISE WORKED; SHELLS OF MOLLUSCS, CRUSTACEANS OR ECHINODERMS AND CUTTLE-BONE, UNWORKED OR SIMPLY PREPARED BUT NOT CUT TO SHAPE, POWDER AND WASTE THEREOF"
051000,"BERGRIS, CASTOREUM, CIVET AND MUSK; CANTHARIDES; BILE, WHETHER OR NOT DRIED; GLANDS AND OTHER ANIMAL PRODUCTS USED IN THE PREPARATION OF PHARMACEUTICAL PRODUCTS, FRESH, CHILLED, FROZEN OR OTHERWISE PROVISIONALLY PRESERVED"
051110,Bovine semen
051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 03"
051199,Other
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant"
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots"
060210,Unrooted cuttings and slips
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts"
060230,"Rhododendrons and azaleas, grafted or not"
060240,"Roses, grafted or not"
060290,Other
060311,Roses
060312,Carnations
060313,Orchids
060314,Chrysanthemums
060315,Lilies (Lilium spp.)
060319,Other:
060390,Other
060420,Fresh
060490,Other
070110,Seed
070190,Other
070200,"MATOES, FRESH OR CHILLED"
070310,Onions and shallots:
070320,Garlic
070390,Leeks and other alliaceous vegetables
070410,Cauliflowers and headed broccoli
070420,Brussels sprouts
070490,Other
070511,Cabbage lettuce (head lettuce)
070519,Other
070521,Witloof chicory (Cichorium intybus var. foliosum)
070529,Other
070610,Carrots and turnips
070690,Other
070700,"CUMBERS AND GHERKINS, FRESH OR CHILLED"
070810,Peas (Pisum sativum)
070820,"Beans (Vigna spp., phaseolus spp.)"
070890,Other leguminous vegetables
070920,Asparagus
070930,Aubergines (egg-plants)
070940,Celery other than celeriac
070951,Mushrooms of the genus Agaricus
070959,Other
070960,Fruits of the genus Capsicum or of the genus Pimenta
070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)"
070991,Globe artichokes
070992,Olives
070993,"Pumpkins, squash and gourds (Cucubrita spp.)"
070999,Other
071010,Potatoes
071021,Peas (Pisum sativum)
071022,"Beans (Vigna spp., Phaseolus spp.)"
071029,Other
071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)"
071040,Sweet corn
071080,Other vegetables
071090,Mixtures of vegetables
071120,Olives
071140,Cucumbers and gherkins
071151,Mushrooms of the genus Agaricus
071159,Other
071190,Other vegetables; mixtures of vegetables
071220,Onions
071231,Mushrooms of the genus Agaricus
071232,Wood ears (Auricularia spp.)
071233,Jelly fungi (Tremella spp.)
071239,Other
071290,Other vegetables; mixtures of vegetables
071310,Peas (Pisum sativum):
071320,Chickpeas (garbanzos)
071331,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek:
071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis)
071333,"Kidney beans, including white pea beans (Phaseolus vulgaris)"
071334,Bambara beans (Vigna subterranea or Voandzeia subterranea)
071335,Cow peas (Vigna unguiculata)
071339,Other
071340,Lentils
071350,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor):"
071360,Pigeon peas (Cajanus cajan)
071390,Other
071410,Manioc (cassava)
071420,Sweet potatoes
071430,Yams (Dioscorea spp.)
071440,Taro (Colocasia spp.)
071450,Yautia (Xanthosoma spp.)
071490,Other
080111,Desiccated
080112,In the inner shell (endocarp)
080119,Other
080121,In shell
080122,Shelled
080131,In shell
080132,Shelled
080211,In shell
080212,Shelled
080221,In shell
080222,Shelled
080231,In shell
080232,Shelled
080241,In shell
080242,Shelled
080251,In shell
080252,Shelled
080261,In shell
080262,Shelled
080270,Kola nuts (Cola spp.)
080280,Areca nuts
080290,Other:
080310,Plantains
080390,Other
080410,Dates
080420,Figs
080430,Pineapples
080440,Avocados
080450,"Guavas, mangoes and mangosteens"
080510,Oranges:
080520,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids:"
080540,"Grapefruit, including pomelos:"
080550,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia):"
080590,Other:
080610,Fresh
080620,Dried
080711,Watermelons
080719,Other
080720,Pawpaws (Papayas)
080810,Apples:
080830,Pears:
080840,Quinces
080910,Apricots
080921,Sour cherries (prunus cerasus)
080929,Other
080930,"Peaches, including nectarines:"
080940,Plums and sloes
081010,Strawberries
081020,"Raspberries, blackberries, mulberries and loganberries"
081030,"Black, white or red currants and gooseberries"
081040,"Cranberries, bilberries and other fruits of the genus Vaccinium"
081050,Kiwifruit
081060,Durians
081070,Persimmons
081090,Other
081110,Strawberries
081120,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries"
081190,Other
081210,Cherries
081290,Other
081310,Apricots
081320,Prunes
081330,Apples
081340,Other fruit
081350,Mixtures of nuts or dried fruits of this Chapter
081400,"EL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS"
090111,Not decaffeinated
090112,Decaffeinated
090121,Not decaffeinated
090122,Decaffeinated
090190,Other
090210,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg
090220,Other green tea (not fermented)
090230,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
090240,Other black tea (fermented) and other partly fermented tea
090300,TE
090411,Neither crushed nor ground
090412,Crushed or ground
090421,"Dried, neither crushed nor ground"
090422,Crushed or ground
090510,Neither crushed nor ground
090520,Crushed or ground
090611, Cinnamon (Cinnamomum zeylanicum Blume)
090619, Other
090620,Crushed or ground
090710,Neither crushed nor ground
090720,Crushed or ground
090811,Neither crushed nor ground
090812,Crushed or ground
090821,Neither crushed nor ground
090822,Crushed or ground
090831,Neither crushed nor ground
090832,Crushed or ground
090921,Neither crushed nor ground
090922,Crushed or ground
090931,Neither crushed nor ground
090932,Crushed or ground
090961,Neither crushed nor ground
090962,Crushed or ground
091011,Neither crushed nor ground
091012,Crushed or ground
091020,Saffron
091030,Turmeric (curcuma)
091091,Mixtures referred to in Note 1 (b) to this Chapter
091099,Other
0100111,Seed
0100119,Other:
0100191,Seed
0100199,Other:
0100210,Seed
0100290,Other
0100310,Seed
0100390,Other:
0100410,Seed
0100490,Other:
0100510,Seed
0100590,Other
0100610,Rice in the husk (paddy or rough)
0100620,Husked (brown) rice
0100630,"Semi-milled or wholly milled rice, whether or not polished or glazed:"
0100640,Broken rice
0100710,Seed
0100790,Other:
0100810,Buckwheat
0100821,Seed
0100829,Other
0100830,Canary seeds
0100840,Fonio (Digitaria spp.)
0100850,Quinoa (Chenopodium quinoa)
0100860,Triticale
0100890,Other cereals
0110100,EAT OR MESLIN FLOUR
0110220,Maize (corn) flour
0110290,Other
0110311,Of wheat
0110313,Of maize (corn)
0110319,Of other cereals
0110320,Pellets
0110412,Of oats
0110419,Of other cereals
0110422,Of oats
0110423,Of maize (corn)
0110429,Of other cereals
0110430,"Germ of cereals, whole, rolled, flaked or ground"
0110510,"Flour, meal and powder"
0110520,"Flakes, granules and pellets"
0110610,Of the dried leguminous vegetables of 0713
0110620,Of sago or of roots or tubers of 0714
0110630,Of the products of Chapter 08
0110710,Not roasted:
0110720,Roasted
0110811,Wheat starch
0110812,Maize (corn) starch
0110813,Potato starch
0110814,Manioc (cassava) starch
0110819,Other starches
0110820,Inulin
0110900,"EAT GLUTEN, WHETHER OR NOT DRIED"
0120110,Seed
0120190,Other
0120230,Seed
0120241,In shell
0120242,"Shelled, whether or not broken"
0120300,PRA
0120400,"NSEED, WHETHER OR NOT BROKEN"
0120510,Low erucic acid rape or colza seeds
0120590,Other
0120600,"NFLOWER SEEDS, WHETHER OR NOT BROKEN"
0120710,Palm nuts and kernels
0120721,Seed
0120729,Other
0120730,Castor oil seeds
0120740,Sesamum seeds
0120750,Mustard seeds
0120760,Safflower (Carthamus tinctorius) seeds
0120770,Melon seeds
0120791,Poppy seeds
0120799,Other
0120810,Of soya beans
0120890,Other
0120910,Sugar beet seeds
0120921,Lucerne (alfalfa) seeds
0120922,Clover (Trifolium spp.) seeds
0120923,Fescue seeds
0120924,Kentucky blue grass (Poa pratensis L.) seeds
0120925,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds"
0120929,Other:
0120930,Seeds of herbaceous plants cultivated principally for their flowers
0120991,Vegetable seeds:
0120999,Other
0121010,"Hop cones, neither ground nor powdered nor in the form of pellets"
0121020,"Hop cones, ground, powdered or in the form of pellets; lupulin"
0121120,Ginseng roots
0121130,Coca leaf
0121140,Poppy straw
0121190,Other:
0121221,Fit for human consumption
0121229,Other
0121291,Sugar beet
0121292,Locust beans (carob)
0121293,Sugar cane
0121294,Chicory roots
0121299,Other
0121300,"REAL STRAW AND HUSKS, UNPREPARED, WHETHER OR NOT CHOPPED, GROUND, PRESSED OR IN THE FORM OF PELLETS"
0121410,Lucerne (alfalfa) meal and pellets
0121490,Other:
0130120,Gum arabic
0130190,Other
0130211,Opium
0130212,Of liquorice
0130213,Of hops
0130219,Other:
0130220,"Pectic substances, pectinates and pectates"
0130231,Agar-agar
0130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds"
0130239,Other
0140110,Bamboos
0140120,Rattans
0140190,Other
0140420,Cotton linters
0140490,Other
0150110,Lard
0150120,Other pig fat
0150190,Other
0150210,Tallow:
0150290,Other
0150300,"RD STEARIN, LARD OIL, OLEOSTEARIN, OLEO-OIL AND TALLOW OIL, NOT EMULSIFIED OR MIXED OR OTHERWISE PREPARED"
0150410,Fish-liver oils and their fractions
0150420,"Fats and oils and their fractions, of fish, other than liver oils"
0150430,"Fats and oils and their fractions, of marine mammals"
0150500,OL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM (INCLUDING LANOLIN):
0150600,"HER ANIMAL FATS AND OILS AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMCIALLY MODIFIED"
0150710,"Crude oil, whether or not degummed"
0150790,Other
0150810,Crude oil
0150890,Other
0150910,Virgin
0150990,Other
0151000,"HER OILS AND THEIR FRACTIONS, OBTAINED SOLELY FROM OLIVES, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED, INCLUDING BLENDS OF THESE OILS OR FRACTIONS WITH OILS OR FRACTIONS OF 1509"
0151110,Crude oil
0151190,Other
0151211,Crude oil
0151219,Other
0151221,"Crude oil, whether or not gossypol has been removed"
0151229,Other
0151311,Crude oil
0151319,Other
0151321,Crude oil
0151329,Other
0151411,Crude oil
0151419,Other
0151491,Crude oil
0151499,Other
0151511,Crude oil
0151519,Other
